<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<CLAVRG>,,,,,,,
SBERP,D,20100706,0,54.29,56.3,54.2,56.02,25485752,0.508431022,,,,,,,
SBERP,D,20100707,0,55.29,56.2,53.85,56.15,45482037,0.509610887,,,,,,,
SBERP,D,20100708,0,57.25,57.42,56.11,56.16,35159943,0.509701646,,,,,,,
SBERP,D,20100709,0,56.89,56.89,55.29,56.29,23662252,0.510881511,,,,,,,
SBERP,D,20100712,0,56,57.46,55.57,56.96,33957457,0.516962353,,,,,,,
SBERP,D,20100713,0,56.61,58.65,56.19,58.65,44800883,0.532300597,,,,,,,
SBERP,D,20100714,0,59.08,59.75,57.9,58.1,45622124,0.527308861,,,,,,,
SBERP,D,20100715,0,58.44,59.78,57.11,57.28,48939160,0.519866636,,,,,,,
SBERP,D,20100716,0,57.65,58.7,56.1,56.69,49715748,0.514511864,,,,,,,
SBERP,D,20100719,0,56.6,57.52,55.67,56.57,40258483,0.513422758,,,,,,,
SBERP,D,20100720,0,57.19,57.75,55.2,56.18,42228663,0.509883163,,,,,,,
SBERP,D,20100721,0,56.71,57.49,56.47,57.17,38553353,0.518868289,,,,,,,
SBERP,D,20100722,0,56.43,58.15,56.4,58,54774157,0.526401272,,,,,,,
SBERP,D,20100723,0,58,58.34,56.68,57.32,38922943,0.520229671,,,,,,,
SBERP,D,20100726,0,58.01,58.71,57.72,58.24,32217559,0.528579485,,,,,,,
SBERP,D,20100727,0,58.42,59.16,57.94,58.59,37546779,0.531756044,,,,,,,
SBERP,D,20100728,0,58.9,59.24,57.36,57.6,38536130,0.522770919,,,,,,,
SBERP,D,20100729,0,57.81,58.85,57.44,58.45,42338239,0.53048542,,,,,,,
SBERP,D,20100730,0,58.05,58.07,56.03,56.85,44465603,0.515964006,,,,,,,
SBERP,D,20100802,0,57.43,58.31,57.3,58.24,46869437,0.528579485,,,,,,,
SBERP,D,20100803,0,58.4,60.84,57.85,59.74,107489779,0.542193311,,,,,,,
SBERP,D,20100804,0,59.4,62.59,59.38,62.18,128059018,0.564338468,,,,,,,
SBERP,D,20100805,0,62.48,63.05,60.82,61.25,97362032,0.555897895,,,,,,,
SBERP,D,20100806,0,61.69,62.18,60.52,61,46164589,0.553628924,,,,,,,
SBERP,D,20100809,0,61.58,62.44,61.43,61.91,46415948,0.561887979,,,,,,,
SBERP,D,20100810,0,61.37,61.67,59.7,59.9,52238876,0.543645452,,,,,,,
SBERP,D,20100811,0,59.5,59.52,58.27,58.49,44408072,0.530848456,,,,,,,
SBERP,D,20100812,0,58.3,59.23,57.59,58.5,49321292,0.530939214,,,,,,,
SBERP,D,20100813,0,59.13,59.4,57.59,57.96,40288002,0.526038237,,,,,,,
SBERP,D,20100816,0,58.19,58.29,56.5,57.2,34228681,0.519140565,,,,,,,
SBERP,D,20100817,0,57.51,57.77,56.95,57.72,42324347,0.523860025,,,,,,,
SBERP,D,20100818,0,57.54,57.67,56.6,56.77,32223786,0.515237935,,,,,,,
SBERP,D,20100819,0,57.2,57.34,55.86,55.91,33208277,0.507432675,,,,,,,
SBERP,D,20100820,0,55.91,56.16,54.84,55.5,45762976,0.503711562,,,,,,,
SBERP,D,20100823,0,55.56,56.15,55.1,55.65,33476755,0.505072945,,,,,,,
